aria_account_id,aria_customer_id,aria_relationship_type
aria_acct_000181,aria_cust_000086,HOLDER
aria_acct_000182,aria_cust_000087,HOLDER
aria_acct_000182,aria_cust_000677,BENEFICIARY
aria_acct_000183,aria_cust_000087,BORROWER
aria_acct_000184,aria_cust_000088,HOLDER
aria_acct_000185,aria_cust_000088,BORROWER
aria_acct_000186,aria_cust_000089,HOLDER
aria_acct_000187,aria_cust_000089,HOLDER
aria_acct_000187,aria_cust_001255,BENEFICIARY
aria_acct_000188,aria_cust_000090,HOLDER
aria_acct_000189,aria_cust_000090,HOLDER
aria_acct_000190,aria_cust_000090,HOLDER
aria_acct_000191,aria_cust_000091,HOLDER
aria_acct_000191,aria_cust_000802,HOLDER
aria_acct_000192,aria_cust_000091,HOLDER
aria_acct_000192,aria_cust_002503,BENEFICIARY
aria_acct_000193,aria_cust_000092,HOLDER
aria_acct_000194,aria_cust_000093,HOLDER
aria_acct_000194,aria_cust_004956,BENEFICIARY
aria_acct_000195,aria_cust_000093,HOLDER
aria_acct_000196,aria_cust_000094,HOLDER
aria_acct_000197,aria_cust_000094,HOLDER
aria_acct_000197,aria_cust_004316,HOLDER
aria_acct_000197,aria_cust_004348,BENEFICIARY
aria_acct_000198,aria_cust_000095,HOLDER
aria_acct_000199,aria_cust_000095,HOLDER
aria_acct_000199,aria_cust_004910,HOLDER
aria_acct_000199,aria_cust_001560,BENEFICIARY
aria_acct_000200,aria_cust_000095,BORROWER
aria_acct_000201,aria_cust_000095,HOLDER
aria_acct_000202,aria_cust_000096,HOLDER
aria_acct_000203,aria_cust_000096,HOLDER
aria_acct_000203,aria_cust_000438,HOLDER
aria_acct_000204,aria_cust_000096,HOLDER
aria_acct_000205,aria_cust_000096,BORROWER
aria_acct_000205,aria_cust_000481,GUARANTOR
aria_acct_000206,aria_cust_000097,HOLDER
aria_acct_000207,aria_cust_000097,HOLDER
aria_acct_000208,aria_cust_000098,HOLDER
aria_acct_000209,aria_cust_000098,HOLDER
aria_acct_000209,aria_cust_003171,HOLDER
aria_acct_000210,aria_cust_000098,HOLDER
aria_acct_000211,aria_cust_000099,HOLDER
aria_acct_000212,aria_cust_000099,BORROWER
aria_acct_000213,aria_cust_000100,HOLDER
aria_acct_000214,aria_cust_000100,BORROWER
aria_acct_000215,aria_cust_000101,HOLDER
aria_acct_000216,aria_cust_000101,HOLDER
aria_acct_000217,aria_cust_000102,HOLDER
aria_acct_000218,aria_cust_000102,HOLDER
aria_acct_000219,aria_cust_000103,HOLDER
aria_acct_000219,aria_cust_003541,HOLDER
aria_acct_000220,aria_cust_000104,HOLDER
aria_acct_000221,aria_cust_000105,HOLDER
aria_acct_000222,aria_cust_000105,HOLDER
aria_acct_000223,aria_cust_000105,BORROWER
aria_acct_000224,aria_cust_000106,HOLDER
aria_acct_000225,aria_cust_000106,HOLDER
aria_acct_000226,aria_cust_000106,HOLDER
aria_acct_000227,aria_cust_000107,HOLDER
aria_acct_000228,aria_cust_000107,HOLDER
aria_acct_000229,aria_cust_000108,HOLDER
aria_acct_000230,aria_cust_000108,HOLDER
aria_acct_000230,aria_cust_004337,HOLDER
aria_acct_000231,aria_cust_000109,HOLDER
aria_acct_000232,aria_cust_000109,BORROWER
aria_acct_000232,aria_cust_001849,GUARANTOR
aria_acct_000233,aria_cust_000110,HOLDER
aria_acct_000234,aria_cust_000110,HOLDER
aria_acct_000234,aria_cust_003259,BENEFICIARY
aria_acct_000235,aria_cust_000110,HOLDER
aria_acct_000236,aria_cust_000111,HOLDER
aria_acct_000237,aria_cust_000111,HOLDER
aria_acct_000237,aria_cust_001897,BENEFICIARY
aria_acct_000238,aria_cust_000112,HOLDER
aria_acct_000239,aria_cust_000112,HOLDER
aria_acct_000240,aria_cust_000112,HOLDER
aria_acct_000241,aria_cust_000112,HOLDER
aria_acct_000241,aria_cust_001053,HOLDER
aria_acct_000242,aria_cust_000113,HOLDER
aria_acct_000243,aria_cust_000113,HOLDER
aria_acct_000244,aria_cust_000114,HOLDER
aria_acct_000245,aria_cust_000114,HOLDER
aria_acct_000246,aria_cust_000115,HOLDER
aria_acct_000247,aria_cust_000115,HOLDER
aria_acct_000248,aria_cust_000115,HOLDER
aria_acct_000249,aria_cust_000116,HOLDER
aria_acct_000250,aria_cust_000116,HOLDER
aria_acct_000250,aria_cust_004966,BENEFICIARY
aria_acct_000251,aria_cust_000117,HOLDER
aria_acct_000252,aria_cust_000118,HOLDER
aria_acct_000252,aria_cust_003128,BENEFICIARY
aria_acct_000253,aria_cust_000119,HOLDER
aria_acct_000254,aria_cust_000120,HOLDER
aria_acct_000255,aria_cust_000120,HOLDER
aria_acct_000255,aria_cust_000292,HOLDER
aria_acct_000256,aria_cust_000121,HOLDER
aria_acct_000256,aria_cust_003379,BENEFICIARY
aria_acct_000257,aria_cust_000121,HOLDER
aria_acct_000258,aria_cust_000121,BORROWER
aria_acct_000259,aria_cust_000121,HOLDER
aria_acct_000260,aria_cust_000122,HOLDER
aria_acct_000260,aria_cust_000743,HOLDER
aria_acct_000261,aria_cust_000122,HOLDER
aria_acct_000262,aria_cust_000122,BORROWER
aria_acct_000263,aria_cust_000123,HOLDER
aria_acct_000264,aria_cust_000123,HOLDER
aria_acct_000265,aria_cust_000123,HOLDER
aria_acct_000266,aria_cust_000124,HOLDER
aria_acct_000267,aria_cust_000125,HOLDER
aria_acct_000268,aria_cust_000126,HOLDER
aria_acct_000269,aria_cust_000126,HOLDER
aria_acct_000270,aria_cust_000127,HOLDER
aria_acct_000270,aria_cust_002247,BENEFICIARY
aria_acct_000271,aria_cust_000128,HOLDER
aria_acct_000271,aria_cust_004035,BENEFICIARY
aria_acct_000272,aria_cust_000128,HOLDER
aria_acct_000273,aria_cust_000128,HOLDER
aria_acct_000273,aria_cust_001695,HOLDER
aria_acct_000274,aria_cust_000129,HOLDER
aria_acct_000275,aria_cust_000129,HOLDER
aria_acct_000276,aria_cust_000130,HOLDER
aria_acct_000277,aria_cust_000130,HOLDER
aria_acct_000278,aria_cust_000130,BORROWER
aria_acct_000279,aria_cust_000131,HOLDER
aria_acct_000279,aria_cust_001647,HOLDER
aria_acct_000280,aria_cust_000131,HOLDER
aria_acct_000281,aria_cust_000132,HOLDER
aria_acct_000282,aria_cust_000132,BORROWER
aria_acct_000283,aria_cust_000133,HOLDER
aria_acct_000284,aria_cust_000133,HOLDER
aria_acct_000285,aria_cust_000134,HOLDER
aria_acct_000286,aria_cust_000134,HOLDER
aria_acct_000287,aria_cust_000135,HOLDER
aria_acct_000288,aria_cust_000135,HOLDER
aria_acct_000289,aria_cust_000136,HOLDER
aria_acct_000290,aria_cust_000136,HOLDER
aria_acct_000291,aria_cust_000136,HOLDER
aria_acct_000291,aria_cust_002378,BENEFICIARY
aria_acct_000292,aria_cust_000137,HOLDER
aria_acct_000293,aria_cust_000137,HOLDER
aria_acct_000294,aria_cust_000138,HOLDER
aria_acct_000295,aria_cust_000138,HOLDER
aria_acct_000296,aria_cust_000138,HOLDER
aria_acct_000297,aria_cust_000139,HOLDER
aria_acct_000298,aria_cust_000140,HOLDER
aria_acct_000299,aria_cust_000140,BORROWER
aria_acct_000300,aria_cust_000141,HOLDER
aria_acct_000301,aria_cust_000141,BORROWER
aria_acct_000301,aria_cust_001605,GUARANTOR
aria_acct_000302,aria_cust_000141,HOLDER
aria_acct_000303,aria_cust_000142,HOLDER
aria_acct_000304,aria_cust_000142,HOLDER
aria_acct_000305,aria_cust_000142,HOLDER
aria_acct_000306,aria_cust_000143,HOLDER
aria_acct_000307,aria_cust_000143,HOLDER
aria_acct_000308,aria_cust_000144,HOLDER
aria_acct_000309,aria_cust_000144,HOLDER
aria_acct_000309,aria_cust_003228,BENEFICIARY
aria_acct_000310,aria_cust_000145,HOLDER
aria_acct_000311,aria_cust_000145,HOLDER
aria_acct_000312,aria_cust_000145,HOLDER
aria_acct_000312,aria_cust_002234,HOLDER
aria_acct_000313,aria_cust_000146,HOLDER
aria_acct_000314,aria_cust_000146,HOLDER
aria_acct_000315,aria_cust_000147,HOLDER
aria_acct_000316,aria_cust_000147,BORROWER
aria_acct_000317,aria_cust_000148,HOLDER
aria_acct_000318,aria_cust_000148,HOLDER
aria_acct_000319,aria_cust_000148,HOLDER
aria_acct_000320,aria_cust_000149,HOLDER
aria_acct_000321,aria_cust_000149,HOLDER
aria_acct_000322,aria_cust_000149,HOLDER
aria_acct_000323,aria_cust_000150,HOLDER
aria_acct_000324,aria_cust_000150,HOLDER
aria_acct_000325,aria_cust_000151,HOLDER
aria_acct_000326,aria_cust_000151,HOLDER
aria_acct_000326,aria_cust_002028,BENEFICIARY
aria_acct_000327,aria_cust_000152,HOLDER
aria_acct_000327,aria_cust_003117,HOLDER
aria_acct_000327,aria_cust_002571,BENEFICIARY
aria_acct_000328,aria_cust_000153,HOLDER
aria_acct_000329,aria_cust_000153,HOLDER
aria_acct_000330,aria_cust_000154,HOLDER
aria_acct_000331,aria_cust_000154,HOLDER
aria_acct_000331,aria_cust_004799,BENEFICIARY
aria_acct_000332,aria_cust_000155,HOLDER
aria_acct_000333,aria_cust_000155,HOLDER
aria_acct_000334,aria_cust_000155,HOLDER
aria_acct_000334,aria_cust_004473,BENEFICIARY
aria_acct_000335,aria_cust_000156,HOLDER
aria_acct_000336,aria_cust_000157,HOLDER
aria_acct_000337,aria_cust_000157,HOLDER
aria_acct_000338,aria_cust_000158,HOLDER
aria_acct_000339,aria_cust_000158,BORROWER
aria_acct_000339,aria_cust_004115,GUARANTOR
aria_acct_000340,aria_cust_000159,HOLDER
aria_acct_000341,aria_cust_000159,HOLDER
aria_acct_000341,aria_cust_002588,HOLDER
aria_acct_000342,aria_cust_000159,HOLDER
aria_acct_000343,aria_cust_000159,BORROWER
aria_acct_000344,aria_cust_000160,HOLDER
aria_acct_000345,aria_cust_000161,HOLDER
aria_acct_000346,aria_cust_000161,HOLDER
aria_acct_000347,aria_cust_000161,HOLDER
aria_acct_000347,aria_cust_004685,HOLDER
aria_acct_000348,aria_cust_000161,HOLDER
aria_acct_000348,aria_cust_001179,BENEFICIARY
aria_acct_000349,aria_cust_000162,HOLDER
aria_acct_000350,aria_cust_000162,HOLDER
aria_acct_000350,aria_cust_002838,BENEFICIARY
aria_acct_000351,aria_cust_000162,HOLDER
aria_acct_000352,aria_cust_000163,HOLDER
aria_acct_000353,aria_cust_000164,HOLDER
aria_acct_000354,aria_cust_000164,HOLDER
aria_acct_000355,aria_cust_000164,HOLDER
aria_acct_000356,aria_cust_000165,HOLDER
aria_acct_000357,aria_cust_000165,HOLDER
aria_acct_000358,aria_cust_000166,HOLDER
aria_acct_000359,aria_cust_000166,HOLDER
aria_acct_000360,aria_cust_000167,HOLDER
aria_acct_000361,aria_cust_000167,HOLDER
aria_acct_000361,aria_cust_000491,HOLDER
aria_acct_000362,aria_cust_000168,HOLDER
aria_acct_000362,aria_cust_003460,BENEFICIARY
aria_acct_000363,aria_cust_000168,HOLDER
aria_acct_000363,aria_cust_001044,BENEFICIARY
aria_acct_000364,aria_cust_000169,HOLDER
aria_acct_000365,aria_cust_000169,HOLDER
aria_acct_000366,aria_cust_000170,HOLDER
aria_acct_000367,aria_cust_000170,HOLDER
aria_acct_000368,aria_cust_000171,HOLDER
aria_acct_000369,aria_cust_000171,HOLDER
aria_acct_000370,aria_cust_000172,HOLDER
aria_acct_000371,aria_cust_000173,HOLDER
aria_acct_000372,aria_cust_000174,HOLDER
aria_acct_000373,aria_cust_000174,HOLDER
aria_acct_000373,aria_cust_001138,HOLDER
aria_acct_000374,aria_cust_000174,BORROWER
aria_acct_000375,aria_cust_000175,HOLDER
aria_acct_000376,aria_cust_000175,HOLDER
aria_acct_000376,aria_cust_000255,HOLDER
aria_acct_000377,aria_cust_000176,HOLDER
aria_acct_000378,aria_cust_000177,HOLDER
aria_acct_000379,aria_cust_000177,HOLDER
aria_acct_000380,aria_cust_000178,HOLDER
aria_acct_000381,aria_cust_000178,HOLDER
aria_acct_000382,aria_cust_000179,HOLDER
aria_acct_000383,aria_cust_000179,HOLDER
aria_acct_000384,aria_cust_000180,HOLDER
aria_acct_000384,aria_cust_000888,HOLDER
aria_acct_000385,aria_cust_000181,HOLDER
aria_acct_000385,aria_cust_002098,BENEFICIARY
aria_acct_000386,aria_cust_000181,HOLDER
aria_acct_000387,aria_cust_000181,BORROWER
aria_acct_000388,aria_cust_000182,HOLDER
aria_acct_000389,aria_cust_000182,HOLDER
aria_acct_000390,aria_cust_000183,HOLDER
aria_acct_000391,aria_cust_000184,HOLDER
aria_acct_000392,aria_cust_000184,HOLDER
aria_acct_000392,aria_cust_000164,HOLDER
aria_acct_000393,aria_cust_000185,HOLDER
aria_acct_000394,aria_cust_000185,HOLDER
aria_acct_000395,aria_cust_000185,HOLDER
aria_acct_000395,aria_cust_000430,HOLDER
aria_acct_000395,aria_cust_004470,BENEFICIARY
aria_acct_000396,aria_cust_000186,HOLDER
aria_acct_000397,aria_cust_000186,BORROWER
aria_acct_000398,aria_cust_000187,HOLDER
aria_acct_000399,aria_cust_000187,HOLDER
aria_acct_000400,aria_cust_000188,HOLDER
aria_acct_000401,aria_cust_000188,HOLDER
aria_acct_000401,aria_cust_001706,BENEFICIARY
aria_acct_000402,aria_cust_000189,HOLDER
aria_acct_000403,aria_cust_000189,HOLDER
aria_acct_000403,aria_cust_000008,HOLDER
aria_acct_000404,aria_cust_000190,HOLDER
aria_acct_000405,aria_cust_000191,HOLDER
aria_acct_000406,aria_cust_000191,HOLDER
aria_acct_000407,aria_cust_000192,HOLDER
aria_acct_000408,aria_cust_000192,HOLDER
aria_acct_000409,aria_cust_000192,HOLDER
aria_acct_000409,aria_cust_001999,HOLDER
aria_acct_000410,aria_cust_000193,HOLDER
aria_acct_000411,aria_cust_000193,HOLDER
aria_acct_000412,aria_cust_000193,HOLDER
aria_acct_000412,aria_cust_002951,HOLDER
aria_acct_000413,aria_cust_000194,HOLDER
aria_acct_000414,aria_cust_000194,HOLDER
aria_acct_000415,aria_cust_000195,HOLDER
aria_acct_000416,aria_cust_000196,HOLDER
aria_acct_000416,aria_cust_004487,HOLDER
aria_acct_000417,aria_cust_000196,HOLDER
aria_acct_000418,aria_cust_000196,HOLDER
aria_acct_000419,aria_cust_000196,BORROWER
aria_acct_000420,aria_cust_000197,HOLDER
aria_acct_000421,aria_cust_000198,HOLDER
aria_acct_000422,aria_cust_000198,HOLDER
aria_acct_000422,aria_cust_000065,HOLDER
aria_acct_000423,aria_cust_000198,HOLDER
aria_acct_000424,aria_cust_000199,HOLDER
aria_acct_000425,aria_cust_000200,HOLDER
aria_acct_000426,aria_cust_000200,HOLDER
aria_acct_000427,aria_cust_000201,HOLDER
aria_acct_000428,aria_cust_000201,HOLDER
aria_acct_000428,aria_cust_001788,HOLDER
aria_acct_000429,aria_cust_000201,HOLDER
aria_acct_000429,aria_cust_000332,HOLDER
aria_acct_000430,aria_cust_000202,HOLDER
aria_acct_000431,aria_cust_000202,HOLDER
aria_acct_000432,aria_cust_000203,HOLDER
aria_acct_000433,aria_cust_000204,HOLDER
aria_acct_000434,aria_cust_000204,HOLDER
aria_acct_000435,aria_cust_000205,HOLDER
aria_acct_000436,aria_cust_000205,HOLDER
aria_acct_000437,aria_cust_000205,HOLDER
aria_acct_000437,aria_cust_001684,HOLDER
aria_acct_000437,aria_cust_002880,BENEFICIARY
aria_acct_000438,aria_cust_000206,HOLDER
aria_acct_000439,aria_cust_000206,HOLDER
aria_acct_000440,aria_cust_000206,HOLDER
aria_acct_000441,aria_cust_000207,HOLDER
aria_acct_000442,aria_cust_000207,HOLDER
aria_acct_000443,aria_cust_000207,BORROWER
aria_acct_000444,aria_cust_000208,HOLDER
aria_acct_000445,aria_cust_000208,HOLDER
aria_acct_000445,aria_cust_002981,HOLDER
aria_acct_000445,aria_cust_000079,BENEFICIARY
aria_acct_000446,aria_cust_000208,HOLDER
aria_acct_000447,aria_cust_000209,HOLDER
aria_acct_000448,aria_cust_000209,HOLDER
aria_acct_000449,aria_cust_000210,HOLDER
aria_acct_000450,aria_cust_000210,HOLDER
aria_acct_000451,aria_cust_000211,HOLDER
aria_acct_000451,aria_cust_000825,HOLDER
aria_acct_000452,aria_cust_000212,HOLDER
aria_acct_000453,aria_cust_000213,HOLDER
aria_acct_000453,aria_cust_001229,HOLDER
aria_acct_000454,aria_cust_000213,HOLDER
aria_acct_000455,aria_cust_000213,HOLDER
