trxn_id,customer_id,residency_country_id,zipcode,xceed_rf_score
89,c_69,267,60640,10
90,c_30,267,95110,0
91,c_70,267,95134,8
92,c_71,267,NULL,10
93,c_72,254,60714,10
94,c_8,267,94111,5
95,c_30,267,95110,0
96,c_73,267,NULL,0
97,c_28,267,94111,8
98,c_74,254,60629,4
99,c_30,267,95110,0
100,c_75,267,NULL,7
101,c_76,254,60026,10
102,c_64,267,NULL,5
103,c_77,267,NULL,6
104,c_49,267,19901,4
105,c_78,267,6511,3
106,c_50,254,60527,10
107,c_28,267,94111,8
108,c_79,267,11354,5
109,c_57,254,60026,8
110,c_28,267,94111,8
111,c_28,267,94111,8
112,c_80,267,NULL,6
113,c_81,267,NULL,10
114,c_28,267,94111,8
115,c_49,267,19901,4
116,c_66,254,60440,3
117,c_43,267,98104,6
118,c_49,267,19901,4
119,c_82,267,NULL,3
120,c_83,267,NULL,7
121,c_84,254,1890,7
122,c_49,267,60148,4
123,c_30,267,95110,0
124,c_13,267,94111,0
125,c_85,267,NULL,2
126,c_30,267,95110,0
127,c_49,267,60148,4
128,c_86,254,60452,5
129,c_87,267,NULL,0
130,c_88,254,60712,5
131,c_89,267,NULL,9
132,c_90,267,95110,2
133,c_63,267,NULL,4
134,c_91,267,NULL,10
135,c_92,254,60564,1
136,c_30,267,95110,0
137,c_56,267,60610,9
138,c_22,267,NULL,2
139,c_93,267,NULL,4
140,c_13,267,94111,0
141,c_94,267,NULL,0
142,c_60,254,60016,8
143,c_76,254,60026,10
144,c_95,267,77036,9
145,c_1,267,19806,6
146,c_96,267,NULL,1
147,c_97,254,60062,6
148,c_98,267,NULL,4
149,c_99,254,60067,8
150,c_100,267,NULL,8
151,c_101,267,12729,2
152,c_30,267,95110,0
153,c_102,267,NULL,4
154,c_27,254,60640,2
155,c_103,267,NULL,6
156,c_104,267,77036,9
157,c_105,267,60301,2
158,c_106,254,92677,0
159,c_87,267,NULL,0
160,c_107,267,60203,3
161,c_73,267,NULL,0
162,c_108,254,60605,0
163,c_109,254,60016,9
164,c_49,267,19901,4
165,c_30,267,95110,0
166,c_110,267,NULL,9
167,c_111,267,NULL,1
168,c_27,254,60640,2
169,c_102,267,NULL,4
170,c_49,267,19901,4
171,c_112,267,NULL,4
172,c_113,254,60647,8
173,c_87,267,NULL,0
174,c_66,254,60440,3
175,c_114,267,60712,6
176,c_115,267,NULL,10
177,c_116,267,91789,3
178,c_117,267,NULL,1
179,c_118,267,95110,4
180,c_22,267,NULL,2
181,c_98,267,NULL,4
182,c_119,267,60018,2
183,c_120,267,NULL,1
184,c_121,267,NULL,3
185,c_122,267,NULL,4
186,c_41,267,94111,0
187,c_41,267,94111,0
188,c_13,267,94111,0
189,c_60,254,60016,8
190,c_123,267,NULL,2
191,c_50,254,60527,10
192,c_124,267,NULL,10
193,c_49,267,19901,4
194,c_125,267,NULL,3
195,c_126,267,NULL,2
196,c_13,267,94111,0
197,c_13,267,94111,0
198,c_30,267,95110,0
199,c_127,267,94111,0
200,c_87,267,NULL,0
201,c_119,267,60018,2
202,c_13,267,94111,0
203,c_128,254,60714,8
204,c_129,267,60173,2
205,c_13,267,94111,0
206,c_28,267,94111,8
207,c_28,267,94111,8
208,c_56,267,60053,9
209,c_40,254,12729,3
210,c_130,254,60076,1
211,c_66,254,60440,3
212,c_131,267,NULL,6
213,c_132,267,90245,8
214,c_133,267,NULL,7
215,c_134,267,NULL,2
216,c_135,267,60655,9
217,c_136,267,NULL,1
218,c_133,267,NULL,7
219,c_137,267,NULL,4
220,c_30,267,95110,0
221,c_138,267,NULL,6
222,c_139,254,60004,2
223,c_140,267,NULL,5
224,c_141,254,60608,1
225,c_142,267,NULL,10
226,c_143,267,NULL,10
227,c_144,267,NULL,9
228,c_145,254,60660,3
229,c_104,267,77036,9
230,c_146,267,NULL,10
231,c_147,254,60660,10
232,c_148,267,NULL,2
233,c_149,267,60053,10
234,c_150,267,NULL,3
235,c_151,254,60616,9
236,c_30,267,95110,0
237,c_13,267,94111,0
238,c_152,254,60452,1
239,c_153,267,NULL,7
240,c_154,267,NULL,3
241,c_22,267,NULL,2
242,c_155,254,60632,9
243,c_73,267,NULL,0
244,c_156,267,60610,6
245,c_72,254,60714,10
246,c_87,267,NULL,0
247,c_157,267,NULL,9
248,c_60,254,60016,8
249,c_158,254,60640,1
250,c_63,267,NULL,4
251,c_159,254,60056,4
252,c_37,267,NULL,9
253,c_160,267,NULL,7
254,c_3,254,60062,5
255,c_104,267,77036,9
256,c_161,267,NULL,3
257,c_41,267,94111,0
258,c_162,254,60616,9
259,c_163,267,60126,10
260,c_90,267,95110,2
261,c_88,254,60712,5
262,c_164,267,NULL,8
263,c_1,267,19806,6
264,c_165,267,60091,8
265,c_166,267,NULL,3
266,c_49,267,19901,4
267,c_167,254,60660,5
268,c_49,267,19901,4
269,c_115,267,NULL,10
270,c_168,267,NULL,10
271,c_149,267,60053,10
272,c_43,267,98104,6
273,c_102,267,NULL,4
274,c_94,267,NULL,0
275,c_8,267,94111,5
276,c_169,267,NULL,6
277,c_170,254,60176,5
278,c_171,267,NULL,9
279,c_172,267,NULL,7
280,c_133,267,NULL,7
281,c_173,267,NULL,7
282,c_174,254,60616,2
283,c_31,267,11354,8
284,c_73,267,NULL,0
285,c_175,254,11218,10
286,c_176,267,NULL,9
287,c_177,267,NULL,3
288,c_178,267,NULL,2
289,c_179,267,NULL,1
290,c_180,254,60089,3
291,c_181,267,12729,7
292,c_41,267,94111,0
293,c_182,267,NULL,9
294,c_183,267,NULL,10
295,c_11,267,61614,5
296,c_13,267,94111,0
297,c_184,267,NULL,9
298,c_185,267,NULL,6
299,c_186,267,NULL,7
300,c_187,254,60477,8
301,c_84,254,1890,7
302,c_22,267,NULL,2
303,c_95,267,77036,9
304,c_41,267,94111,0
305,c_49,267,60148,4
306,c_44,267,11354,1
307,c_107,267,60203,3
308,c_188,254,60608,2
309,c_189,267,60053,2
310,c_190,267,NULL,10
311,c_73,267,NULL,0
312,c_13,267,94111,0
313,c_191,267,60403,0
314,c_13,267,94111,0
315,c_192,267,NULL,7
316,c_193,254,60616,4
317,c_194,254,60657,8
318,c_195,267,NULL,2
319,c_196,267,NULL,0
320,c_183,267,NULL,10
321,c_117,267,NULL,1
322,c_197,254,60056,8
323,c_49,267,19901,4
324,c_102,267,NULL,4
325,c_198,267,NULL,7
326,c_73,267,NULL,0
327,c_72,254,60714,10
328,c_199,267,NULL,9
329,c_200,267,NULL,2
330,c_201,267,NULL,1
331,c_202,254,60076,3
332,c_123,267,NULL,2
333,c_49,267,60148,4
334,c_52,254,60062,2
335,c_66,254,60440,3
336,c_92,254,60564,1
337,c_203,267,NULL,0
338,c_86,254,60452,5
339,c_204,267,NULL,0
340,c_205,267,NULL,7
341,c_49,267,19901,4
342,c_206,254,NULL,1
343,c_207,267,NULL,6
344,c_49,267,60148,4
345,c_208,267,NULL,3
346,c_22,267,NULL,2
347,c_209,267,NULL,2
348,c_1,267,19806,6
349,c_43,267,98104,6
350,c_63,267,NULL,4
351,c_78,267,6511,3
352,c_116,267,91789,3
353,c_210,267,NULL,10
354,c_171,267,NULL,9
355,c_211,267,NULL,10
356,c_13,267,94111,0
357,c_176,267,NULL,9
358,c_107,267,60203,3
359,c_1,267,19806,6
360,c_49,267,19901,4
361,c_30,267,95110,0
362,c_212,267,NULL,9
363,c_127,267,94111,0
364,c_30,267,95110,0
365,c_213,267,NULL,1
366,c_214,254,60640,0
367,c_8,267,94111,5
368,c_215,254,60025,0
369,c_66,254,60440,3
370,c_216,267,60018,2
371,c_72,254,60714,10
372,c_22,267,NULL,2
373,c_119,267,60018,2
374,c_118,267,95110,4
375,c_217,254,10940,10
376,c_43,267,98104,6
377,c_218,254,60026,6
378,c_219,267,19801,0
379,c_30,267,95110,0
380,c_66,254,60440,3
381,c_49,267,19901,4
382,c_220,267,NULL,0
383,c_221,267,NULL,3
384,c_222,267,NULL,0
385,c_10,254,77005,0
386,c_30,267,95110,0
387,c_223,267,NULL,8
388,c_49,267,60148,4
389,c_224,267,NULL,2
390,c_225,267,NULL,6
391,c_226,267,NULL,3
392,c_22,267,NULL,2
393,c_227,267,NULL,0
394,c_228,254,60559,1
395,c_13,267,94111,0
396,c_229,267,NULL,1
397,c_230,254,12746,1
398,c_13,267,94111,0
399,c_231,254,60706,10
400,c_22,267,NULL,2
401,c_1,267,19806,6
402,c_13,267,94111,0
403,c_232,267,NULL,5
404,c_233,267,NULL,2
405,c_8,267,94111,5
406,c_234,267,NULL,0
407,c_30,267,95110,0
408,c_49,267,60148,4
409,c_235,267,NULL,5
410,c_63,267,NULL,4
411,c_236,267,60457,3
412,c_133,267,NULL,7
413,c_70,267,95134,8
414,c_117,267,NULL,1
415,c_237,267,19901,2
416,c_238,267,NULL,10
417,c_239,267,NULL,7
418,c_240,267,NULL,8
419,c_241,254,60091,4
420,c_30,267,95110,0
421,c_49,267,19901,4
422,c_1,267,19806,6
423,c_43,267,98104,6
424,c_147,254,60660,10
425,c_115,267,NULL,10
426,c_242,254,60016,7
427,c_243,267,NULL,2
428,c_28,267,94111,8
429,c_244,267,NULL,8
430,c_87,267,NULL,0
431,c_87,267,NULL,0
432,c_1,267,19806,6
433,c_245,254,60625,10
434,c_189,267,60053,2
435,c_246,267,NULL,9
436,c_191,267,60403,0
437,c_247,267,NULL,3
438,c_78,267,6511,3
439,c_28,267,94111,8
440,c_73,267,NULL,0
441,c_22,267,NULL,2
442,c_248,267,NULL,6
443,c_249,267,11354,5
444,c_250,50,NULL,3
445,c_251,254,92056,6
446,c_41,267,94111,0
447,c_252,267,NULL,1
448,c_253,267,NULL,6
449,c_118,267,95110,4
450,c_1,267,19806,6
451,c_254,254,60660,2
452,c_255,267,91101,8
453,c_244,267,NULL,8
454,c_17,267,94111,6
455,c_105,267,60301,2
456,c_256,254,60169,8
457,c_257,267,NULL,8
458,c_1,267,19806,6
459,c_258,267,NULL,9
460,c_219,267,19801,0
461,c_259,267,NULL,0
462,c_50,254,60527,10
463,c_133,267,NULL,7
464,c_1,267,19806,6
465,c_260,254,60305,7
466,c_30,267,95110,0
467,c_30,267,95110,0
468,c_49,267,19901,4
469,c_261,267,NULL,2
470,c_60,254,60016,8
471,c_73,267,NULL,0
472,c_98,267,NULL,4
473,c_132,267,90245,8
474,c_8,267,94111,5
475,c_66,254,60440,3
476,c_87,267,NULL,0
477,c_262,254,60025,9
478,c_34,254,60008,9
479,c_263,267,NULL,1
480,c_26,267,NULL,1
481,c_264,267,NULL,10
482,c_265,254,60016,10
483,c_242,254,60016,7
484,c_115,267,NULL,10
485,c_266,267,NULL,5
486,c_267,254,60612,10
487,c_268,254,60101,8
488,c_219,267,19801,0
489,c_50,254,60527,10
490,c_159,254,60056,4
491,c_13,267,94111,0
492,c_269,267,60053,8
493,c_270,267,NULL,8
494,c_240,267,NULL,8
495,c_271,267,NULL,0
496,c_272,267,NULL,1
497,c_273,267,NULL,1
498,c_49,267,60148,4
499,c_274,254,60076,6
500,c_49,267,19901,4
501,c_95,267,77036,9
502,c_1,267,19806,6
503,c_28,267,94111,8
504,c_13,267,94111,0
505,c_22,267,NULL,2
506,c_49,267,19901,4
507,c_50,254,60527,10
508,c_275,267,NULL,6
509,c_276,254,60527,10
510,c_8,267,94111,5
511,c_8,267,94111,5
512,c_49,267,60148,4
513,c_22,267,NULL,2
514,c_49,267,60148,4
515,c_22,267,NULL,2
516,c_73,267,NULL,0
517,c_252,267,NULL,1
518,c_1,267,19806,6
519,c_8,267,94111,5
520,c_193,254,60616,4
521,c_277,267,NULL,1
522,c_278,254,60091,0
523,c_252,267,NULL,1
524,c_279,267,NULL,10
525,c_1,267,19806,6
526,c_280,267,NULL,9
527,c_281,254,60077,3
528,c_282,267,NULL,1
529,c_283,267,NULL,5
530,c_102,267,NULL,4
531,c_22,267,NULL,2
532,c_284,267,NULL,6
533,c_78,267,6511,3
534,c_285,267,NULL,5
535,c_49,267,60148,4
536,c_286,267,60521,3
537,c_287,254,12729,1
538,c_251,254,92056,6
539,c_176,267,NULL,9
540,c_288,254,60076,2
541,c_289,267,60018,6
542,c_50,254,60527,10
543,c_23,267,NULL,1
544,c_227,267,NULL,0
545,c_290,254,60160,5
546,c_291,254,60712,7
547,c_148,267,NULL,2
548,c_292,254,60016,2
549,c_293,254,60640,1
550,c_294,267,NULL,4
551,c_295,267,60016,6
552,c_73,267,NULL,0
553,c_49,267,19901,4
554,c_296,267,NULL,8
555,c_297,267,NULL,0
556,c_1,267,19806,6
557,c_147,254,60660,10
558,c_298,267,60162,9
559,c_49,267,60148,4
560,c_102,267,NULL,4
561,c_299,267,NULL,3
562,c_300,267,NULL,7
563,c_301,267,NULL,7
564,c_302,267,NULL,9
565,c_1,267,19806,6
566,c_303,267,NULL,9
567,c_197,254,60056,8
568,c_304,267,NULL,10
569,c_30,267,95110,0
570,c_305,267,NULL,3
571,c_10,254,60521,0
572,c_306,267,NULL,3
573,c_41,267,94111,0
574,c_13,267,94111,0
575,c_307,254,60018,10
576,c_28,267,94111,8
577,c_87,267,NULL,0
578,c_34,254,60008,9
579,c_8,267,94111,5
580,c_70,267,95134,8
581,c_308,267,6511,8
582,c_215,254,60025,0
583,c_49,267,60148,4
584,c_309,267,NULL,10
585,c_310,267,60173,8
586,c_311,267,NULL,3
587,c_1,267,19806,6
588,c_312,254,60189,9
589,c_313,267,NULL,3
590,c_104,267,77036,9
591,c_11,267,61614,5
592,c_314,267,NULL,6
593,c_159,254,60056,4
594,c_22,267,NULL,2
595,c_315,267,NULL,1
596,c_316,267,NULL,2
597,c_317,254,60712,5
598,c_318,267,NULL,0
599,c_22,267,NULL,2
600,c_49,267,60148,4
601,c_319,267,NULL,10
602,c_13,267,94111,0
603,c_320,254,60608,4
604,c_321,267,NULL,9
605,c_322,267,NULL,1
606,c_92,254,60564,1
607,c_139,254,60004,2
608,c_323,254,60076,4
609,c_159,254,60056,4
610,c_324,267,NULL,3
611,c_325,267,NULL,1
612,c_218,254,60026,6
613,c_326,267,NULL,6
614,c_17,267,94111,6
615,c_176,267,NULL,9
616,c_30,267,95110,0
617,c_78,267,6511,3
618,c_327,267,NULL,9
619,c_183,267,NULL,10
620,c_328,267,NULL,3
621,c_329,267,NULL,9
622,c_49,267,60148,4
623,c_21,267,NULL,10
624,c_330,254,60202,7
625,c_98,267,NULL,4
626,c_331,267,NULL,2
627,c_28,267,94111,8
628,c_41,267,94111,0
629,c_332,254,60523,6
630,c_333,254,60608,9
631,c_28,267,94111,8
632,c_49,267,19901,4
633,c_334,267,NULL,0
634,c_13,267,94111,0
635,c_13,267,94111,0
636,c_28,267,94111,8
637,c_41,267,94111,0
638,c_274,254,60076,6
639,c_49,267,60148,4
640,c_335,267,NULL,7
641,c_336,267,NULL,2
642,c_196,267,NULL,0
643,c_337,267,NULL,10
644,c_338,267,NULL,6
645,c_190,267,NULL,10
646,c_8,267,94111,5
647,c_30,267,95110,0
648,c_339,267,NULL,0
649,c_90,267,95110,2
650,c_340,267,NULL,7
651,c_341,267,12729,5
652,c_87,267,NULL,0
653,c_342,254,60632,9
654,c_343,267,NULL,3
655,c_344,267,NULL,4
656,c_345,254,60707,0
657,c_30,267,95110,0
658,c_146,267,NULL,10
659,c_346,254,60091,8
660,c_347,267,NULL,0
661,c_115,267,NULL,10
662,c_348,267,NULL,6
663,c_132,267,90245,8
664,c_349,267,NULL,8
665,c_350,267,NULL,4
666,c_8,267,94111,5
667,c_351,267,NULL,9
668,c_8,267,94111,5
669,c_352,267,60018,8
670,c_353,267,NULL,3
671,c_354,267,NULL,5
672,c_41,267,94111,0
673,c_355,267,NULL,7
674,c_356,267,NULL,0
675,c_30,267,95110,0
676,c_357,267,NULL,7
677,c_358,267,NULL,0
678,c_13,267,94111,0
679,c_73,267,NULL,0
680,c_359,267,NULL,5
681,c_360,267,NULL,9
682,c_189,267,60053,2
683,c_361,267,NULL,1
684,c_362,254,60630,5
685,c_363,267,NULL,3
686,c_26,267,NULL,1
687,c_28,267,94111,8
688,c_73,267,NULL,0
689,c_364,267,60654,6
690,c_365,254,60016,5
691,c_123,267,NULL,2
692,c_366,267,NULL,9
693,c_367,267,NULL,9
694,c_368,267,NULL,3
695,c_369,254,60077,8
696,c_79,267,11354,5
697,c_370,267,NULL,6
698,c_8,267,94111,5
699,c_371,267,NULL,2
700,c_372,254,60005,8
701,c_159,254,60056,4
702,c_13,267,94111,0
703,c_41,267,94111,0
704,c_373,267,NULL,9
705,c_374,267,NULL,1
706,c_375,254,60618,5
707,c_22,267,NULL,2
708,c_376,267,NULL,0
709,c_377,267,NULL,0
710,c_378,267,NULL,10
711,c_30,267,95110,0
712,c_379,267,NULL,10
713,c_104,267,77036,9
714,c_191,267,60403,0
715,c_380,267,NULL,2
716,c_1,267,19806,6
717,c_381,254,60076,0
718,c_8,267,94111,5
719,c_382,267,NULL,1
720,c_216,267,60018,2
721,c_98,267,NULL,4
722,c_44,267,11354,1
723,c_28,267,94111,8
724,c_49,267,19901,4
725,c_78,267,6511,3
726,c_280,267,NULL,9
727,c_13,267,94111,0
728,c_383,254,10963,1
729,c_384,267,60056,10
730,c_127,267,94111,0
731,c_385,267,NULL,5
732,c_386,267,60609,0
733,c_22,267,NULL,2
734,c_118,267,95110,4
735,c_49,267,60148,4
736,c_387,254,60016,1
737,c_13,267,94111,0
738,c_364,267,60654,6
739,c_117,267,NULL,1
740,c_284,267,NULL,6
741,c_388,267,NULL,8
742,c_389,267,NULL,9
743,c_390,254,60201,8
744,c_391,267,NULL,9
745,c_22,267,NULL,2
746,c_49,267,19901,4
747,c_1,267,19806,6
748,c_324,267,NULL,3
749,c_392,267,NULL,10
750,c_393,267,NULL,2
751,c_50,254,60527,10
752,c_78,267,6511,3
753,c_394,267,NULL,9
754,c_395,267,94111,8
755,c_396,267,NULL,0
756,c_90,267,95110,2
757,c_13,267,94111,0
758,c_397,267,NULL,5
759,c_8,267,94111,5
760,c_1,267,19806,6
761,c_398,267,NULL,2
762,c_11,267,61614,5
763,c_295,267,60016,6
764,c_8,267,94111,5
765,c_49,267,19901,4
766,c_399,267,NULL,8
767,c_400,267,NULL,8
768,c_353,267,NULL,3
769,c_22,267,NULL,2
770,c_399,267,NULL,8
771,c_401,267,NULL,8
772,c_402,267,NULL,2
773,c_25,267,NULL,10
774,c_58,267,60608,10
775,c_8,267,94111,5
776,c_22,267,NULL,2
777,c_403,267,NULL,7
778,c_404,267,NULL,4
779,c_405,267,NULL,0
780,c_107,267,60203,3
781,c_104,267,77036,9
782,c_49,267,60148,4
783,c_49,267,19901,4
784,c_406,267,NULL,3
785,c_407,267,NULL,8
786,c_408,267,NULL,0
787,c_149,267,60053,10
788,c_8,267,94111,5
789,c_409,267,NULL,8
790,c_22,267,NULL,2
791,c_228,254,60523,1
792,c_28,267,94111,8
793,c_197,254,60056,8
794,c_22,267,NULL,2
795,c_78,267,6511,3
796,c_22,267,NULL,2
797,c_116,267,91789,3
798,c_1,267,19806,6
799,c_410,267,NULL,2
800,c_411,267,NULL,4
801,c_49,267,60148,4
802,c_412,254,60015,3
803,c_1,267,19806,6
804,c_413,267,NULL,10
805,c_414,267,NULL,1
806,c_30,267,95110,0
807,c_415,267,NULL,8
808,c_416,267,NULL,9
809,c_417,267,NULL,4
810,c_418,267,NULL,3
811,c_419,267,12729,3
812,c_57,254,60026,8
813,c_132,267,90245,8
814,c_13,267,94111,0
815,c_420,267,60091,10
816,c_158,254,60640,1
817,c_8,267,94111,5
818,c_421,267,60091,5
819,c_78,267,6511,3
820,c_104,267,77036,9
821,c_422,267,NULL,7
822,c_115,267,NULL,10
823,c_104,267,77036,9
824,c_423,267,NULL,7
825,c_424,254,8016,10
826,c_425,267,NULL,9
827,c_242,254,60016,7
828,c_426,254,60093,5
829,c_427,267,NULL,1
830,c_158,254,60640,1
831,c_428,267,60160,6
832,c_429,267,11354,3
833,c_430,254,60659,5
834,c_41,267,94111,0
835,c_30,267,95110,0
836,c_22,267,NULL,2
837,c_306,267,NULL,3
838,c_431,254,60608,9
839,c_8,267,94111,5
840,c_28,267,94111,8
841,c_28,267,94111,8
842,c_79,267,11354,5
843,c_432,254,60091,9
844,c_433,267,NULL,6
845,c_434,254,60564,1
846,c_28,267,94111,8
847,c_22,267,NULL,2
848,c_435,267,NULL,6
849,c_78,267,6511,3
850,c_436,267,NULL,2
851,c_214,254,60640,0
852,c_22,267,NULL,2
853,c_13,267,94111,0
854,c_437,267,NULL,7
855,c_438,267,NULL,4
856,c_50,254,60527,10
857,c_308,267,6511,8
858,c_439,267,NULL,9
859,c_148,267,NULL,2
860,c_440,267,NULL,0
861,c_132,267,90245,8
862,c_441,267,NULL,3
863,c_49,267,60148,4
864,c_49,267,60148,4
865,c_442,254,60640,8
866,c_22,267,NULL,2
867,c_443,267,NULL,4
868,c_444,267,NULL,8
869,c_16,267,NULL,0
870,c_132,267,90245,8
871,c_445,267,NULL,1
872,c_446,254,60625,9
873,c_294,267,NULL,4
874,c_22,267,NULL,2
875,c_309,267,NULL,10
876,c_447,267,NULL,5
877,c_8,267,94111,5
878,c_92,254,60564,1
879,c_13,267,94111,0
880,c_41,267,94111,0
881,c_13,267,94111,0
882,c_364,267,60654,6
883,c_49,267,60148,4
884,c_117,267,NULL,1
885,c_307,254,60018,10
886,c_448,267,NULL,2
887,c_22,267,NULL,2
888,c_449,267,NULL,3
889,c_117,267,NULL,1
890,c_49,267,19901,4
891,c_41,267,94111,0
892,c_159,254,60056,4
893,c_450,267,NULL,9
894,c_451,267,NULL,1
895,c_452,267,60640,0
896,c_49,267,60148,4
897,c_43,267,98104,6
898,c_30,267,95110,0
899,c_453,267,NULL,10
900,c_242,254,60016,7
901,c_454,267,NULL,0
902,c_455,254,12729,10
903,c_52,254,60062,2
904,c_456,267,NULL,6
905,c_41,267,94111,0
906,c_118,267,95110,4
907,c_41,267,94111,0
908,c_457,267,NULL,2
909,c_458,267,NULL,9
910,c_8,267,94111,5
911,c_87,267,NULL,0
912,c_459,267,NULL,8
913,c_460,267,NULL,4
914,c_77,267,NULL,6
915,c_10,254,60521,0
916,c_28,267,94111,8
917,c_215,254,60025,0
918,c_461,267,NULL,3
919,c_56,267,60610,9
920,c_462,254,60712,3
921,c_78,267,6511,3
922,c_436,267,NULL,2
923,c_90,267,95110,2
924,c_49,267,60148,4
925,c_463,267,NULL,4
926,c_218,254,60026,6
927,c_399,267,NULL,8
928,c_291,254,60712,7
929,c_132,267,90245,8
930,c_78,267,6511,3
931,c_218,254,60026,6
932,c_30,267,95110,0
933,c_464,267,NULL,1
934,c_465,267,60649,8
935,c_34,254,60008,9
936,c_105,267,60301,2
937,c_1,267,19806,6
938,c_466,267,NULL,5
939,c_41,267,94111,0
940,c_41,267,94111,0
941,c_375,254,60618,5
942,c_467,267,NULL,7
943,c_66,254,60440,3
944,c_13,267,94111,0
945,c_115,267,NULL,10
946,c_1,267,19806,6
947,c_60,254,60016,8
948,c_468,267,60616,6
949,c_63,267,NULL,4
950,c_469,267,NULL,8
951,c_395,267,94111,8
952,c_41,267,94111,0
953,c_13,267,94111,0
954,c_10,254,60521,0
955,c_119,267,60018,2
956,c_8,267,94111,5
957,c_8,267,94111,5
958,c_470,267,NULL,1
959,c_102,267,NULL,4
960,c_137,267,NULL,4
961,c_78,267,6510,3
962,c_66,254,60440,3
963,c_176,267,NULL,9
964,c_135,267,60655,9
965,c_8,267,94111,5
966,c_30,267,95110,0
967,c_471,267,NULL,0
968,c_472,267,NULL,2
969,c_1,267,19806,6
970,c_49,267,60148,4
971,c_421,267,60091,5
972,c_32,267,NULL,4
973,c_473,267,NULL,7
974,c_227,267,NULL,0
975,c_223,267,NULL,8
976,c_66,254,60440,3
977,c_49,267,60148,4
978,c_102,267,NULL,4
979,c_147,254,60660,10
980,c_66,254,60440,3
981,c_474,267,NULL,4
982,c_49,267,60148,4
983,c_95,267,77036,9
984,c_252,267,NULL,1
985,c_312,254,60189,9
986,c_475,267,NULL,3
987,c_104,267,77036,9
988,c_476,267,NULL,0
989,c_432,254,60091,9
990,c_55,267,NULL,2
991,c_477,267,NULL,0
992,c_478,267,60616,3
993,c_43,267,98104,6
994,c_479,267,NULL,5
995,c_480,267,NULL,6
996,c_481,254,60025,6
997,c_30,267,95110,0
998,c_113,254,60647,8
999,c_22,267,NULL,2
1000,c_65,267,60646,6
1001,c_30,267,95110,0
1002,c_87,267,NULL,0
1003,c_87,267,NULL,0
1004,c_133,267,NULL,7
1005,c_98,267,NULL,4
1006,c_14,254,91607,10
1007,c_482,254,60523,1
1008,c_104,267,77036,9
1009,c_87,267,NULL,0
1010,c_338,267,NULL,6
1011,c_316,267,NULL,2
1012,c_127,267,94111,0
1013,c_88,254,60712,5
1014,c_483,267,NULL,1
1015,c_1,267,19806,6
1016,c_484,267,NULL,4
1017,c_49,267,60148,4
1018,c_485,254,60305,3
1019,c_49,267,60148,4
1020,c_1,267,19806,6
1021,c_486,267,NULL,5
1022,c_107,267,60203,3
1023,c_487,254,60016,1
1024,c_488,267,NULL,4
1025,c_236,267,60457,3
1026,c_489,267,NULL,7
1027,c_87,267,NULL,0
1028,c_28,267,94111,8
1029,c_490,267,NULL,10
1030,c_419,267,12729,3
1031,c_491,254,60010,3
1032,c_8,267,94111,5
1033,c_69,267,60640,10
1034,c_28,267,94111,8
1035,c_492,254,60068,8
