trxn_id,account_id,type,xceed_rf_score
125,a_120,Savings,3
126,a_121,Checking,6
127,a_122,Savings,1
128,a_123,Checking,5
129,a_124,Savings,10
130,a_125,Checking,5
131,a_126,Savings,1
132,a_127,Checking,10
133,a_78,Savings,3
134,a_128,Checking,4
135,a_129,Savings,3
136,a_130,Checking,5
137,a_64,Savings,5
138,a_131,Checking,4
139,a_132,Savings,10
140,a_133,Checking,2
141,a_134,Savings,7
142,a_135,Checking,2
143,a_136,Savings,1
144,a_137,Checking,5
145,a_138,Savings,7
146,a_139,Checking,2
147,a_140,Savings,8
148,a_141,Checking,8
149,a_142,Savings,5
150,a_143,Checking,2
151,a_144,Savings,0
152,a_145,Checking,1
153,a_146,Savings,9
154,a_29,Checking,5
155,a_147,Savings,1
156,a_148,Checking,3
157,a_149,Savings,2
158,a_150,Checking,0
159,a_151,Savings,2
160,a_152,Checking,1
161,a_153,Savings,4
162,a_154,Checking,4
163,a_155,Savings,10
164,a_111,Checking,0
165,a_156,Savings,1
166,a_157,Checking,3
167,a_158,Savings,5
168,a_29,Checking,5
169,a_159,Savings,2
170,a_160,Checking,7
171,a_161,Savings,6
172,a_162,Checking,5
173,a_163,Savings,8
174,a_164,Checking,1
175,a_165,Savings,1
176,a_166,Checking,9
177,a_167,Savings,5
178,a_168,Checking,0
179,a_169,Savings,2
180,a_170,Checking,6
181,a_141,Savings,8
182,a_171,Checking,5
183,a_172,Savings,10
184,a_173,Checking,1
185,a_174,Savings,5
186,a_175,Checking,2
187,a_176,Savings,5
188,a_177,Checking,5
189,a_135,Savings,2
190,a_178,Checking,9
191,a_53,Savings,7
192,a_179,Checking,1
193,a_180,Savings,8
194,a_181,Checking,10
195,a_182,Savings,10
196,a_183,Checking,6
197,a_184,Savings,10
198,a_185,Checking,4
199,a_186,Savings,6
200,a_187,Checking,0
201,a_171,Savings,5
202,a_188,Checking,6
203,a_189,Savings,7
204,a_190,Checking,0
205,a_191,Savings,3
206,a_192,Checking,5
207,a_193,Savings,3
208,a_64,Checking,5
209,a_194,Savings,8
210,a_195,Checking,5
211,a_164,Savings,1
212,a_196,Checking,0
213,a_197,Savings,4
214,a_198,Checking,6
215,a_199,Savings,9
216,a_200,Checking,6
217,a_201,Savings,6
218,a_202,Checking,10
219,a_203,Savings,1
220,a_204,Checking,7
221,a_205,Savings,5
222,a_206,Checking,7
223,a_207,Savings,4
224,a_208,Checking,1
225,a_209,Savings,10
226,a_210,Checking,4
227,a_211,Savings,1
228,a_212,Checking,7
229,a_213,Savings,8
230,a_214,Checking,6
231,a_215,Savings,9
232,a_216,Checking,6
233,a_217,Savings,2
234,a_218,Checking,1
235,a_219,Savings,3
236,a_220,Checking,0
237,a_221,Savings,4
238,a_222,Checking,5
239,a_223,Savings,9
240,a_224,Checking,1
241,a_225,Savings,10
242,a_226,Checking,3
243,a_227,Savings,1
244,a_228,Checking,2
245,a_92,Savings,3
246,a_187,Checking,0
247,a_229,Savings,9
248,a_135,Checking,2
249,a_230,Savings,6
250,a_231,Checking,10
251,a_232,Savings,3
252,a_233,Checking,7
253,a_234,Savings,2
254,a_3,Checking,8
255,a_235,Savings,6
256,a_236,Checking,1
257,a_237,Savings,7
258,a_238,Checking,9
259,a_239,Savings,4
260,a_240,Checking,1
261,a_125,Savings,5
262,a_241,Checking,7
263,a_242,Savings,10
264,a_243,Checking,0
265,a_244,Savings,0
266,a_245,Checking,7
267,a_246,Savings,8
268,a_247,Checking,1
269,a_248,Savings,9
270,a_249,Checking,0
271,a_217,Savings,2
272,a_250,Checking,0
273,a_251,Savings,9
274,a_252,Checking,2
275,a_253,Savings,10
276,a_254,Checking,1
277,a_255,Savings,3
278,a_256,Checking,4
279,a_257,Savings,10
280,a_258,Checking,5
281,a_259,Savings,10
282,a_260,Checking,7
283,a_261,Savings,0
284,a_262,Checking,2
285,a_263,Savings,7
286,a_264,Checking,4
287,a_265,Savings,5
288,a_266,Checking,9
289,a_267,Savings,6
290,a_268,Checking,8
291,a_269,Savings,7
292,a_270,Checking,5
293,a_271,Savings,9
294,a_272,Checking,5
295,a_12,Savings,3
296,a_273,Checking,2
297,a_274,Savings,9
298,a_275,Checking,2
299,a_276,Savings,5
300,a_277,Checking,2
301,a_117,Savings,6
302,a_278,Checking,3
303,a_137,Savings,5
304,a_279,Checking,10
305,a_280,Savings,9
306,a_47,Checking,4
307,a_152,Savings,1
308,a_281,Checking,0
309,a_282,Savings,4
310,a_283,Checking,8
311,a_284,Savings,5
312,a_285,Checking,5
313,a_286,Savings,5
314,a_287,Checking,5
315,a_288,Savings,2
316,a_289,Checking,9
317,a_290,Savings,3
318,a_291,Checking,4
319,a_292,Savings,3
320,a_293,Checking,6
321,a_294,Savings,4
322,a_295,Checking,7
323,a_296,Savings,2
324,a_251,Checking,9
325,a_297,Savings,5
326,a_298,Checking,3
327,a_92,Savings,3
328,a_299,Checking,1
329,a_300,Savings,7
330,a_301,Checking,9
331,a_302,Savings,10
332,a_178,Checking,9
333,a_58,Savings,1
334,a_303,Checking,5
335,a_304,Savings,0
336,a_305,Checking,5
337,a_306,Savings,1
338,a_123,Checking,5
339,a_307,Savings,1
340,a_308,Checking,5
341,a_309,Savings,10
342,a_310,Checking,2
343,a_311,Savings,8
344,a_312,Checking,1
345,a_313,Savings,6
346,a_314,Checking,7
347,a_315,Savings,3
348,a_316,Checking,9
349,a_317,Savings,3
350,a_231,Checking,10
351,a_318,Savings,7
352,a_319,Checking,1
353,a_320,Savings,7
354,a_256,Checking,4
355,a_321,Savings,10
356,a_322,Checking,0
357,a_323,Savings,8
358,a_152,Checking,1
359,a_324,Savings,2
360,a_325,Checking,4
361,a_326,Savings,9
362,a_327,Checking,3
363,a_328,Savings,7
364,a_329,Checking,9
365,a_330,Savings,6
366,a_331,Checking,2
367,a_332,Savings,8
368,a_333,Checking,9
369,a_164,Savings,1
370,a_334,Checking,10
371,a_92,Savings,3
372,a_335,Checking,9
373,a_171,Savings,5
374,a_336,Checking,0
375,a_337,Savings,10
376,a_46,Checking,5
377,a_338,Savings,6
378,a_339,Checking,2
379,a_340,Savings,8
380,a_341,Checking,10
381,a_342,Savings,8
382,a_343,Checking,5
383,a_344,Savings,3
384,a_345,Checking,8
385,a_346,Savings,2
386,a_347,Checking,3
387,a_348,Savings,9
388,a_58,Checking,1
389,a_349,Savings,7
390,a_350,Checking,2
391,a_351,Savings,1
392,a_352,Checking,1
393,a_353,Savings,8
394,a_354,Checking,0
395,a_355,Savings,0
396,a_356,Checking,9
397,a_357,Savings,4
398,a_355,Checking,0
399,a_358,Savings,8
400,a_359,Checking,7
401,a_360,Savings,8
402,a_361,Checking,0
403,a_362,Savings,8
404,a_363,Checking,9
405,a_364,Savings,7
406,a_365,Checking,3
407,a_32,Savings,9
408,a_366,Checking,5
409,a_367,Savings,9
410,a_75,Checking,9
411,a_368,Savings,4
412,a_369,Checking,7
413,a_370,Savings,10
414,a_371,Checking,0
415,a_372,Savings,9
416,a_373,Checking,3
417,a_374,Savings,6
418,a_375,Checking,10
419,a_376,Savings,3
420,a_377,Checking,4
421,a_180,Savings,8
422,a_378,Checking,9
423,a_379,Savings,9
424,a_380,Checking,5
425,a_381,Savings,0
426,a_382,Checking,1
427,a_383,Savings,0
428,a_384,Checking,3
429,a_385,Savings,6
430,a_386,Checking,9
431,a_387,Savings,10
432,a_388,Checking,10
433,a_389,Savings,9
434,a_282,Checking,4
435,a_390,Savings,8
436,a_391,Checking,9
437,a_392,Savings,9
438,a_393,Checking,7
439,a_394,Savings,4
440,a_395,Checking,4
441,a_396,Savings,10
442,a_397,Checking,3
443,a_398,Savings,3
444,a_399,Checking,10
445,a_400,Savings,9
446,a_401,Checking,5
447,a_402,Savings,7
448,a_403,Checking,3
449,a_404,Savings,8
450,a_405,Checking,7
451,a_406,Savings,9
452,a_407,Checking,1
453,a_408,Savings,9
454,a_409,Checking,2
455,a_149,Savings,2
456,a_410,Checking,2
457,a_411,Savings,5
458,a_412,Checking,4
459,a_413,Savings,2
460,a_414,Checking,0
461,a_415,Savings,7
462,a_53,Checking,7
463,a_258,Savings,5
464,a_416,Checking,8
465,a_417,Savings,6
466,a_418,Checking,1
467,a_419,Savings,8
468,a_111,Checking,0
469,a_420,Savings,4
470,a_70,Checking,9
471,a_421,Savings,0
472,a_422,Checking,1
473,a_423,Savings,9
474,a_424,Checking,1
475,a_425,Savings,2
476,a_426,Checking,4
477,a_427,Savings,1
478,a_37,Checking,7
479,a_428,Savings,3
480,a_429,Checking,4
481,a_430,Savings,0
482,a_431,Checking,6
483,a_432,Savings,3
484,a_248,Checking,9
485,a_433,Savings,2
486,a_434,Checking,9
487,a_435,Savings,0
488,a_436,Checking,5
489,a_53,Savings,7
490,a_437,Checking,9
491,a_438,Savings,4
492,a_439,Checking,9
493,a_440,Savings,8
494,a_441,Checking,0
495,a_442,Savings,10
496,a_443,Checking,2
497,a_444,Savings,7
498,a_445,Checking,0
499,a_446,Savings,1
500,a_309,Checking,10
501,a_447,Savings,1
502,a_448,Checking,2
503,a_449,Savings,5
504,a_450,Checking,3
505,a_451,Savings,8
506,a_452,Checking,3
507,a_53,Savings,7
508,a_453,Checking,8
509,a_454,Savings,10
510,a_455,Checking,4
511,a_364,Savings,7
512,a_456,Checking,0
513,a_170,Savings,6
514,a_457,Checking,4
515,a_458,Savings,2
516,a_459,Checking,1
517,a_460,Savings,1
518,a_461,Checking,4
519,a_462,Savings,1
520,a_289,Checking,9
521,a_463,Savings,3
522,a_464,Checking,3
523,a_465,Savings,5
524,a_466,Checking,3
525,a_467,Savings,9
526,a_468,Checking,10
527,a_469,Savings,10
528,a_470,Checking,3
529,a_471,Savings,0
530,a_472,Checking,5
531,a_473,Savings,5
532,a_474,Checking,9
533,a_475,Savings,8
534,a_476,Checking,0
535,a_74,Savings,6
536,a_477,Checking,0
537,a_478,Savings,1
538,a_400,Checking,9
539,a_323,Savings,8
540,a_479,Checking,9
541,a_480,Savings,6
542,a_53,Checking,7
543,a_25,Savings,5
544,a_481,Checking,1
545,a_482,Savings,3
546,a_483,Checking,9
547,a_484,Savings,0
548,a_485,Checking,3
549,a_486,Savings,1
550,a_487,Checking,10
551,a_488,Savings,4
552,a_489,Checking,5
553,a_490,Savings,3
554,a_491,Checking,6
555,a_492,Savings,1
556,a_493,Checking,9
557,a_494,Savings,6
558,a_495,Checking,8
559,a_490,Savings,3
560,a_472,Checking,5
561,a_496,Savings,2
562,a_497,Checking,7
563,a_498,Savings,4
564,a_499,Checking,0
565,a_500,Savings,3
566,a_501,Checking,7
567,a_295,Savings,7
568,a_502,Checking,8
569,a_503,Savings,1
570,a_504,Checking,2
571,a_505,Savings,10
572,a_506,Checking,3
573,a_507,Savings,1
574,a_508,Checking,3
575,a_509,Savings,1
576,a_510,Checking,4
577,a_511,Savings,3
578,a_512,Checking,0
579,a_513,Savings,3
580,a_90,Checking,10
581,a_514,Savings,7
582,a_333,Checking,9
583,a_515,Savings,5
584,a_516,Checking,6
585,a_517,Savings,5
586,a_518,Checking,5
587,a_6,Savings,0
588,a_519,Checking,9
589,a_520,Savings,1
590,a_521,Checking,2
591,a_12,Savings,3
592,a_522,Checking,0
593,a_523,Savings,1
594,a_524,Checking,2
595,a_525,Savings,1
596,a_526,Checking,6
597,a_527,Savings,7
598,a_528,Checking,7
599,a_529,Savings,3
600,a_452,Checking,3
601,a_530,Savings,6
602,a_287,Checking,5
603,a_531,Savings,4
604,a_532,Checking,5
605,a_533,Savings,5
606,a_305,Checking,5
607,a_534,Savings,3
608,a_535,Checking,2
609,a_536,Savings,0
610,a_537,Checking,4
611,a_538,Savings,6
612,a_338,Checking,6
613,a_539,Savings,2
614,a_540,Checking,0
615,a_541,Savings,3
616,a_542,Checking,6
617,a_543,Savings,5
618,a_544,Checking,1
619,a_545,Savings,8
620,a_546,Checking,3
621,a_547,Savings,8
622,a_548,Checking,4
623,a_549,Savings,9
624,a_550,Checking,8
625,a_551,Savings,9
626,a_552,Checking,10
627,a_553,Savings,3
628,a_554,Checking,8
629,a_555,Savings,0
630,a_556,Checking,3
631,a_557,Savings,5
632,a_558,Checking,1
633,a_559,Savings,7
634,a_560,Checking,9
635,a_561,Savings,2
636,a_562,Checking,10
637,a_563,Savings,0
638,a_446,Checking,1
639,a_564,Savings,6
640,a_565,Checking,0
641,a_566,Savings,2
642,a_292,Checking,3
643,a_567,Savings,6
644,a_568,Checking,10
645,a_283,Savings,8
646,a_569,Checking,0
647,a_570,Savings,5
648,a_571,Checking,9
649,a_572,Savings,9
650,a_573,Checking,5
651,a_574,Savings,7
652,a_575,Checking,7
653,a_576,Savings,3
654,a_577,Checking,8
655,a_578,Savings,9
656,a_579,Checking,6
657,a_580,Savings,0
658,a_581,Checking,3
659,a_582,Savings,8
660,a_583,Checking,5
661,a_166,Savings,9
662,a_584,Checking,4
663,a_585,Savings,4
664,a_586,Checking,10
665,a_587,Savings,5
666,a_588,Checking,3
667,a_589,Savings,4
668,a_590,Checking,6
669,a_591,Savings,7
670,a_592,Checking,6
671,a_593,Savings,9
672,a_594,Checking,7
673,a_595,Savings,6
674,a_596,Checking,7
675,a_597,Savings,2
676,a_598,Checking,8
677,a_599,Savings,1
678,a_600,Checking,7
679,a_601,Savings,9
680,a_602,Checking,7
681,a_603,Savings,0
682,a_282,Checking,4
683,a_604,Savings,6
684,a_605,Checking,10
685,a_606,Savings,1
686,a_607,Checking,9
687,a_608,Savings,4
688,a_609,Checking,5
689,a_610,Savings,0
690,a_611,Checking,8
691,a_178,Savings,9
692,a_612,Checking,7
693,a_613,Savings,1
694,a_614,Checking,7
695,a_615,Savings,0
696,a_616,Checking,10
697,a_617,Savings,2
698,a_618,Checking,2
699,a_619,Savings,5
700,a_620,Checking,10
701,a_536,Savings,0
702,a_621,Checking,7
703,a_622,Savings,10
704,a_623,Checking,6
705,a_624,Savings,0
706,a_625,Checking,7
707,a_626,Savings,1
708,a_627,Checking,5
709,a_628,Savings,3
710,a_629,Checking,4
711,a_630,Savings,3
712,a_631,Checking,7
713,a_632,Savings,10
714,a_633,Checking,0
715,a_634,Savings,9
716,a_635,Checking,1
717,a_636,Savings,9
718,a_637,Checking,4
719,a_638,Savings,10
720,a_334,Checking,10
721,a_422,Savings,1
722,a_47,Checking,4
723,a_639,Savings,7
724,a_640,Checking,10
725,a_641,Savings,0
726,a_642,Checking,10
727,a_643,Savings,5
728,a_644,Checking,2
729,a_645,Savings,7
730,a_646,Checking,9
731,a_647,Savings,8
732,a_648,Checking,6
733,a_649,Savings,4
734,a_650,Checking,10
735,a_651,Savings,4
736,a_652,Checking,4
737,a_653,Savings,8
738,a_610,Checking,0
739,a_654,Savings,4
740,a_655,Checking,10
741,a_656,Savings,4
742,a_657,Checking,4
743,a_658,Savings,6
744,a_659,Checking,5
745,a_660,Savings,7
746,a_661,Checking,10
747,a_662,Savings,0
748,a_663,Checking,0
749,a_664,Savings,0
750,a_665,Checking,0
751,a_53,Savings,7
752,a_666,Checking,8
753,a_667,Savings,9
754,a_668,Checking,7
755,a_669,Savings,4
756,a_670,Checking,4
757,a_671,Savings,3
758,a_672,Checking,4
759,a_673,Savings,1
760,a_674,Checking,10
761,a_675,Savings,2
762,a_12,Checking,3
763,a_676,Savings,8
764,a_677,Checking,4
765,a_678,Savings,0
766,a_679,Checking,6
767,a_680,Savings,2
768,a_681,Checking,3
769,a_682,Savings,2
770,a_679,Checking,6
771,a_683,Savings,10
772,a_684,Checking,8
773,a_685,Savings,2
774,a_66,Checking,3
775,a_686,Savings,10
776,a_687,Checking,3
777,a_688,Savings,8
778,a_689,Checking,10
779,a_690,Savings,3
780,a_152,Checking,1
781,a_691,Savings,8
782,a_457,Checking,4
783,a_160,Savings,7
784,a_692,Checking,6
785,a_693,Savings,10
786,a_694,Checking,7
787,a_217,Savings,2
788,a_695,Checking,10
789,a_696,Savings,7
790,a_697,Checking,9
791,a_698,Savings,3
792,a_699,Checking,5
793,a_700,Savings,3
794,a_451,Checking,8
795,a_701,Savings,3
796,a_702,Checking,1
797,a_703,Savings,10
798,a_1,Checking,8
799,a_704,Savings,7
800,a_705,Checking,9
801,a_706,Savings,1
802,a_707,Checking,6
803,a_708,Savings,3
804,a_709,Checking,4
805,a_710,Savings,7
806,a_32,Checking,9
807,a_711,Savings,9
808,a_712,Checking,4
809,a_713,Savings,0
810,a_714,Checking,6
811,a_715,Savings,3
812,a_65,Checking,3
813,a_716,Savings,6
814,a_717,Checking,5
815,a_718,Savings,8
816,a_230,Checking,6
817,a_719,Savings,3
818,a_720,Checking,2
819,a_721,Savings,5
820,a_722,Checking,5
821,a_723,Savings,3
822,a_724,Checking,8
823,a_725,Savings,8
824,a_726,Checking,2
825,a_727,Savings,4
826,a_728,Checking,4
827,a_432,Savings,3
828,a_729,Checking,3
829,a_730,Savings,2
830,a_230,Checking,6
831,a_731,Savings,7
832,a_732,Checking,8
833,a_733,Savings,8
834,a_734,Checking,4
835,a_630,Savings,3
836,a_735,Checking,4
837,a_506,Savings,3
838,a_736,Checking,3
839,a_737,Savings,10
840,a_738,Checking,5
841,a_739,Savings,1
842,a_740,Checking,8
843,a_741,Savings,8
844,a_742,Checking,5
845,a_743,Savings,3
846,a_744,Checking,10
847,a_745,Savings,2
848,a_746,Checking,7
849,a_701,Savings,3
850,a_747,Checking,1
851,a_331,Savings,2
852,a_748,Checking,9
853,a_749,Savings,7
854,a_750,Checking,3
855,a_751,Savings,4
856,a_53,Checking,7
857,a_752,Savings,4
858,a_753,Checking,4
859,a_754,Savings,0
860,a_755,Checking,8
861,a_756,Savings,6
862,a_757,Checking,7
863,a_758,Savings,7
864,a_759,Checking,0
865,a_760,Savings,8
866,a_83,Checking,8
867,a_761,Savings,6
868,a_762,Checking,2
869,a_17,Savings,5
870,a_763,Checking,4
871,a_764,Savings,4
872,a_765,Checking,4
873,a_487,Savings,10
874,a_766,Checking,9
875,a_516,Savings,6
876,a_767,Checking,2
877,a_768,Savings,2
878,a_769,Checking,4
879,a_770,Savings,9
880,a_771,Checking,6
881,a_772,Savings,1
882,a_610,Checking,0
883,a_773,Savings,4
884,a_774,Checking,0
885,a_509,Savings,1
886,a_775,Checking,7
887,a_67,Savings,1
888,a_776,Checking,4
889,a_777,Savings,4
890,a_778,Checking,9
891,a_779,Savings,6
892,a_232,Checking,3
893,a_780,Savings,2
894,a_781,Checking,9
895,a_782,Savings,6
896,a_783,Checking,6
897,a_250,Savings,0
898,a_784,Checking,5
899,a_785,Savings,0
900,a_432,Checking,3
901,a_786,Savings,0
902,a_787,Checking,8
903,a_55,Savings,6
904,a_788,Checking,9
905,a_789,Savings,0
906,a_790,Checking,4
907,a_791,Savings,2
908,a_792,Checking,3
909,a_793,Savings,8
910,a_794,Checking,7
911,a_795,Savings,0
912,a_796,Checking,4
913,a_797,Savings,9
914,a_798,Checking,3
915,a_799,Savings,8
916,a_739,Checking,1
917,a_333,Savings,9
918,a_800,Checking,0
919,a_64,Savings,5
920,a_801,Checking,7
921,a_802,Savings,8
922,a_747,Checking,1
923,a_803,Savings,2
924,a_804,Checking,6
925,a_805,Savings,6
926,a_806,Checking,4
927,a_679,Savings,6
928,a_807,Checking,2
929,a_763,Savings,4
930,a_808,Checking,6
931,a_809,Savings,6
932,a_810,Checking,6
933,a_811,Savings,6
934,a_812,Checking,7
935,a_37,Savings,7
936,a_149,Checking,2
937,a_813,Savings,8
938,a_814,Checking,4
939,a_815,Savings,8
940,a_816,Checking,2
941,a_625,Savings,7
942,a_817,Checking,5
943,a_425,Savings,2
944,a_818,Checking,4
945,a_819,Savings,6
946,a_820,Checking,2
947,a_70,Savings,9
948,a_821,Checking,7
949,a_75,Savings,9
950,a_822,Checking,5
951,a_823,Savings,0
952,a_824,Checking,9
953,a_825,Savings,7
954,a_799,Checking,8
955,a_826,Savings,8
956,a_827,Checking,10
957,a_828,Savings,7
958,a_829,Checking,8
959,a_472,Savings,5
960,a_830,Checking,8
961,a_831,Savings,7
962,a_832,Checking,0
963,a_833,Savings,0
964,a_200,Checking,6
965,a_834,Savings,6
966,a_835,Checking,2
967,a_836,Savings,3
968,a_837,Checking,8
969,a_838,Savings,8
970,a_839,Checking,1
971,a_840,Savings,5
972,a_841,Checking,10
973,a_842,Savings,6
974,a_843,Checking,10
975,a_844,Savings,10
976,a_845,Checking,5
977,a_245,Savings,7
978,a_159,Checking,2
979,a_215,Savings,9
980,a_846,Checking,9
981,a_847,Savings,10
982,a_848,Checking,10
983,a_849,Savings,8
984,a_465,Checking,5
985,a_519,Savings,9
986,a_850,Checking,4
987,a_851,Savings,6
988,a_852,Checking,2
989,a_853,Savings,5
990,a_854,Checking,10
991,a_855,Savings,9
992,a_856,Checking,7
993,a_857,Savings,1
994,a_858,Checking,6
995,a_859,Savings,5
996,a_860,Checking,7
997,a_861,Savings,4
998,a_162,Checking,5
999,a_862,Savings,5
1000,a_79,Checking,6
1001,a_863,Savings,10
1002,a_124,Checking,10
1003,a_864,Savings,10
1004,a_865,Checking,1
1005,a_141,Savings,8
1006,a_15,Checking,1
1007,a_866,Savings,9
1008,a_867,Checking,5
1009,a_868,Savings,6
1010,a_568,Checking,10
1011,a_869,Savings,8
1012,a_870,Checking,4
1013,a_125,Savings,5
1014,a_871,Checking,3
1015,a_872,Savings,2
1016,a_873,Checking,8
1017,a_874,Savings,0
1018,a_875,Checking,4
1019,a_876,Savings,3
1020,a_877,Checking,7
1021,a_878,Savings,7
1022,a_152,Checking,1
1023,a_879,Savings,1
1024,a_880,Checking,2
1025,a_881,Savings,5
1026,a_882,Checking,5
1027,a_124,Savings,10
1028,a_883,Checking,9
1029,a_884,Savings,9
1030,a_715,Checking,3
1031,a_885,Savings,4
1032,a_886,Checking,6
1033,a_88,Savings,4
1034,a_887,Checking,4
1035,a_888,Savings,1
1036,a_889,Checking,8
1037,a_890,Savings,5
1038,a_891,Checking,1
1039,a_892,Savings,0
1040,a_893,Checking,9
1041,a_894,Savings,8
1042,a_895,Checking,2
1043,a_896,Savings,10
1044,a_897,Checking,2
1045,a_898,Savings,9
1046,a_899,Checking,8
1047,a_900,Savings,6
1048,a_901,Checking,0
1049,a_902,Savings,3
1050,a_903,Checking,0
1051,a_904,Savings,10
1052,a_905,Checking,4
1053,a_906,Savings,2
1054,a_907,Checking,3
1055,a_908,Savings,4
1056,a_596,Checking,7
1057,a_909,Savings,3
1058,a_910,Checking,4
1059,a_393,Savings,7
1060,a_911,Checking,10
1061,a_912,Savings,3
1062,a_913,Checking,4
1063,a_914,Savings,2
1064,a_53,Checking,7
1065,a_510,Savings,4
1066,a_915,Checking,5
1067,a_916,Savings,10
1068,a_917,Checking,5
1069,a_918,Savings,5
1070,a_919,Checking,2
1071,a_920,Savings,2
1072,a_141,Checking,8
1073,a_11,Savings,5
1074,a_921,Checking,9
1075,a_650,Savings,10
1076,a_922,Checking,0
1077,a_923,Savings,0
1078,a_909,Checking,3
1079,a_67,Savings,1
1080,a_924,Checking,5
1081,a_925,Savings,1
1082,a_926,Checking,2
1083,a_927,Savings,9
1084,a_528,Checking,7
1085,a_928,Savings,1
1086,a_929,Checking,4
1087,a_930,Savings,1
1088,a_931,Checking,2
1089,a_832,Savings,0
1090,a_932,Checking,8
1091,a_795,Savings,0
1092,a_933,Checking,6
1093,a_934,Savings,3
1094,a_935,Checking,2
1095,a_809,Savings,6
1096,a_927,Checking,9
1097,a_936,Savings,8
1098,a_937,Checking,4
1099,a_938,Savings,5
1100,a_939,Checking,4
1101,a_940,Savings,5
1102,a_941,Checking,4
1103,a_942,Savings,7
1104,a_799,Checking,8
1105,a_943,Savings,2
1106,a_944,Checking,3
1107,a_945,Savings,0
1108,a_946,Checking,0
1109,a_947,Savings,7
1110,a_948,Checking,6
1111,a_846,Savings,9
1112,a_949,Checking,4
1113,a_950,Savings,0
1114,a_951,Checking,7
1115,a_952,Savings,6
1116,a_953,Checking,1
1117,a_954,Savings,1
1118,a_955,Checking,10
1119,a_956,Savings,1
1120,a_957,Checking,5
1121,a_958,Savings,7
1122,a_959,Checking,8
1123,a_960,Savings,1
1124,a_961,Checking,7
1125,a_932,Savings,8
1126,a_962,Checking,7
1127,a_963,Savings,8
1128,a_160,Checking,7
1129,a_75,Savings,9
1130,a_964,Checking,9
1131,a_501,Savings,7
1132,a_965,Checking,1
1133,a_429,Savings,4
1134,a_778,Checking,9
1135,a_966,Savings,9
1136,a_967,Checking,0
1137,a_968,Savings,0
1138,a_385,Checking,6
1139,a_969,Savings,1
1140,a_970,Checking,8
1141,a_561,Savings,2
1142,a_971,Checking,6
1143,a_972,Savings,2
1144,a_973,Checking,4
1145,a_974,Savings,1
1146,a_975,Checking,6
1147,a_976,Savings,0
1148,a_708,Checking,3
1149,a_977,Savings,7
1150,a_978,Checking,9
