trxn_id,cash_direction,transaction_type,amount,other_party_id,institution_id,xceed_rf_score,isFraud
368,CashOut,ACH,1000000,3426662,18,4,0
369,CashIn,ACH,35860,4974,3,4,0
370,CashIn,ACH,2812,4974,3,5,0
371,CashIn,ACH,61400,2960078,142,7,0
372,CashIn,ACH,10909,4928,18,3,0
373,CashIn,ACH,675,5112,17,4,0
374,CashIn,ACH,114047,4928,18,4,0
375,CashIn,ACH,126059,1038,18,5,0
376,CashIn,ACH,1406,1453148,15,7,0
377,CashOut,ACH,2845,71846,3,2,0
378,CashIn,ACH,19191,4928,18,10,1
379,CashIn,ACH,1329003,4928,18,7,0
380,CashIn,ACH,35000,58772,13,6,0
381,CashIn,ACH,10603,72679,6,5,0
382,CashIn,ACH,1764,4272311,43,1,0
383,CashIn,ACH,14679,3515013,43,1,0
384,CashOut,Wire,8404235,2481208,50,6,0
385,CashOut,ACH,8395,7642,78,7,0
386,CashIn,ACH,326123,4928,18,8,0
387,CashOut,Wire,700000000,1704403,129,2,0
388,CashIn,ACH,2267,4904576,139,5,0
389,CashIn,ACH,14461,4928,18,10,1
390,CashIn,ACH,14904,4928,18,6,0
391,CashIn,Wire,139970,4061036,694,3,0
392,CashIn,ACH,14856,4928,18,4,0
393,CashIn,ACH,14927,72679,6,0,0
394,CashIn,ACH,917558,7642,78,7,0
395,CashIn,Wire,1000000,3020183,638,2,0
396,CashIn,ACH,14513,4928,18,7,0
397,CashOut,ACH,3278,3441111,18,2,0
398,CashIn,Wire,863074,98226,71,3,0
399,CashIn,ACH,461509,1894253,78,6,0
400,CashIn,ACH,464071,4928,18,4,0
401,CashIn,ACH,139847,4928,18,1,0
402,CashIn,Wire,1510000,103194,313,5,0
403,CashIn,ACH,303600,7353,3,10,1
404,CashIn,ACH,5421,4928,18,3,0
405,CashIn,Wire,106162,4136914,158745,2,0
406,CashIn,ACH,201707,4928,18,8,0
407,CashIn,ACH,13333,4928,18,0,0
408,CashIn,ACH,16714,1453148,15,6,0
409,CashIn,ACH,927,4928,18,10,1
410,CashIn,ACH,4515,4904576,139,7,0
411,CashIn,ACH,2972254,4608667,75,8,0
412,CashIn,ACH,18947,1453148,15,4,0
413,CashIn,ACH,1501200,7353,3,2,0
414,CashIn,ACH,2864,4928,18,7,0
415,CashIn,Wire,4894600,1466195,239,5,0
416,CashIn,ACH,501500,7353,3,7,0
417,CashIn,ACH,6972,72679,6,6,0
418,CashIn,ACH,37149,7353,3,5,0
419,CashIn,ACH,1072071,1592,18,5,0
420,CashIn,ACH,499480,6228,345,2,0
421,CashIn,ACH,635,1453148,15,6,0
422,CashIn,ACH,24455,4928,18,0,0
423,CashIn,ACH,13226,178469,22458,3,0
424,CashIn,ACH,5818,4413,3,8,0
425,CashIn,ACH,3341,4272311,43,4,0
426,CashIn,ACH,20600,5612,11,0,0
427,CashIn,ACH,1693,1453148,15,4,0
428,CashIn,Wire,5510919,3946084,898,5,0
429,CashIn,ACH,2903,72679,6,6,0
430,CashIn,ACH,173290,4928,18,4,0
431,CashIn,ACH,384175,4928,18,2,0
432,CashIn,ACH,195777,4928,18,3,0
433,CashIn,ACH,160617,188,3,4,0
434,CashIn,ACH,94000,2654091,2,9,1
435,CashIn,ACH,954530,7353,3,0,0
436,CashIn,ACH,11229,4413,3,10,1
437,CashIn,ACH,32570,1453148,15,5,0
438,CashIn,Wire,19998300,4510435,71,2,0
439,CashIn,Wire,3408352,2511801,71,7,0
440,CashIn,Wire,384000,3785106,525,1,0
441,CashIn,ACH,36968,4928,18,7,0
442,CashIn,ACH,24177,4928,18,9,1
443,CashIn,ACH,318518,4928,18,6,0
444,CashOut,Wire,31720000,4809557,2008,10,1
445,CashIn,ACH,6871930,4131929,18,8,0
446,CashIn,Wire,1772917,4081995,71,1,0
447,CashIn,ACH,1294,1453148,15,4,0
448,CashIn,ACH,19779,4928,18,3,0
449,CashIn,ACH,234379,6228,345,6,0
450,CashIn,ACH,15258,4928,18,6,0
451,CashOut,ACH,1353,1926161,3,2,0
452,CashOut,ACH,6043803,3426745,49,6,0
453,CashIn,ACH,3139,72679,6,0,0
454,CashIn,ACH,6878,21314,206,8,0
455,CashIn,ACH,16220,22393,192,5,0
456,CashOut,ACH,188424,84702,1708,5,0
457,CashIn,ACH,6114,4928,18,7,0
458,CashIn,ACH,66384,4928,18,9,1
459,CashIn,ACH,40963,6228,345,8,0
460,CashIn,ACH,63055,4928,18,5,0
461,CashIn,ACH,473886,4928,18,5,0
462,CashOut,ACH,174401,1601690,6,10,1
463,CashIn,ACH,703,1453148,15,4,0
464,CashIn,ACH,9295,6228,345,6,0
465,CashOut,ACH,17099,3885733,18,0,0
466,CashIn,ACH,41645,4928,18,2,0
467,CashIn,ACH,989315,4928,18,8,0
468,CashIn,ACH,765,1453148,15,9,1
469,CashOut,Wire,50000000,75582,239,6,0
470,CashOut,ACH,296028,3427206,76,0,0
471,CashIn,Wire,2751500,3979880,614,4,0
472,CashIn,ACH,12527,1453148,15,6,0
473,CashIn,ACH,30497,4928,18,10,1
474,CashIn,Wire,329600,3530554,556,7,0
475,CashIn,ACH,8467,4974,3,7,0
476,CashIn,ACH,1760760,4928,18,9,1
477,CashIn,ACH,95000,74896,14,5,0
478,CashIn,ACH,4857,15591,2,3,0
479,CashIn,ACH,754242,4928,18,0,0
480,CashOut,ACH,540009,3426473,18,0,0
481,CashIn,ACH,6996500,7353,3,10,1
482,CashOut,ACH,12100,3390944,18,10,1
483,CashOut,ACH,1170,3426355,2,2,0
484,CashIn,ACH,6385,4272311,43,5,0
485,CashIn,ACH,40348,4928,18,9,1
486,CashOut,ACH,67824,3426662,18,7,0
487,CashOut,ACH,30000,4931379,1,6,0
488,CashIn,ACH,1021,4928,18,4,0
489,CashOut,ACH,178374,1601690,6,0,0
490,CashOut,ACH,1102619,13183,18,7,0
491,CashIn,Wire,3384600,4950910,239,1,0
492,CashIn,ACH,157588,79,3,4,0
493,CashIn,ACH,200105,4928,18,4,0
494,CashIn,ACH,257469,7353,3,9,1
495,CashIn,ACH,10574,4928,18,3,0
496,CashIn,ACH,3225,4272311,43,1,0
497,CashIn,ACH,786050,4928,18,8,0
498,CashIn,ACH,1536,1453148,15,10,1
499,CashIn,ACH,14786,4974,3,4,0
500,CashIn,ACH,5831,1453148,15,6,0
501,CashIn,ACH,39293,4585734,81822,3,0
502,CashIn,ACH,43555,4928,18,8,0
503,CashIn,Wire,3513647,4753422,50,3,0
504,CashIn,Wire,711975,4824697,3218,6,0
505,CashIn,ACH,48841,4928,18,10,1
506,CashIn,ACH,519,1453148,15,4,0
507,CashOut,ACH,138858,1601690,6,4,0
508,CashIn,ACH,397997,4928,18,5,0
509,CashOut,ACH,1000,3480758,55,0,0
510,CashIn,Wire,366760,3473826,71,7,0
511,CashIn,Wire,5371211,3084679,743,2,0
512,CashIn,ACH,22258,72679,6,8,0
513,CashIn,ACH,34323,4928,18,10,1
514,CashIn,ACH,15985,1453148,15,1,0
515,CashIn,ACH,3749,4272311,43,7,0
516,CashIn,ACH,1638017,6228,345,6,0
517,CashIn,ACH,993,1453148,15,2,0
518,CashIn,ACH,1385501,4928,18,5,0
519,CashIn,Wire,51000,4241718,5651,3,0
520,CashIn,ACH,317280,2197441,18,2,0
521,CashIn,ACH,64965,6228,345,4,0
522,CashIn,Wire,2590000,4105720,239,1,0
523,CashIn,ACH,667,1453148,15,6,0
524,CashIn,ACH,5901,1453148,15,2,0
525,CashIn,ACH,138027,6228,345,1,0
526,CashIn,ACH,7168,72679,6,0,0
527,CashOut,ACH,11055,3991645,345,7,0
528,CashIn,ACH,51856,6228,345,5,0
529,CashIn,ACH,1213,4272311,43,4,0
530,CashIn,ACH,2498,1453148,15,5,0
531,CashIn,ACH,104413,4272311,43,4,0
532,CashIn,ACH,12625,4376826,3,1,0
533,CashIn,Wire,4800000,3809912,614,5,0
534,CashIn,ACH,4274,4928,18,9,1
535,CashIn,ACH,30294,1453148,15,2,0
536,CashIn,ACH,2814022,88,6,3,0
537,CashOut,ACH,4133,3426930,3,5,0
538,CashIn,ACH,8327579,4953610,1,3,0
539,CashIn,ACH,15382,1453148,15,6,0
540,CashIn,ACH,84029,188,11,3,0
541,CashOut,ACH,393940,3426387,27,6,0
542,CashOut,ACH,187512,1601690,6,9,1
543,CashIn,ACH,38401,4928,18,7,0
544,CashIn,ACH,17206,72679,6,5,0
545,CashOut,ACH,9096,3432944,2851,5,0
546,CashIn,ACH,1200,5388,7,7,0
547,CashIn,ACH,8544,4928,18,6,0
548,CashOut,ACH,500,4945844,1,1,0
549,CashIn,ACH,107200,456,2804,9,1
550,CashIn,ACH,3172,4928,18,6,0
551,CashIn,ACH,1160,5388,7,3,0
552,CashIn,ACH,41720,6228,345,0,0
553,CashIn,ACH,10814,1453148,15,10,1
554,CashIn,ACH,11600,4376826,3,6,0
555,CashIn,ACH,1712,6228,345,0,0
556,CashIn,ACH,177800,6228,345,2,0
557,CashOut,ACH,150345,3480625,12,8,0
558,CashIn,ACH,356750,75462,192,7,0
559,CashIn,ACH,10091,1453148,15,1,0
560,CashIn,ACH,3453,1453148,15,2,0
561,CashIn,ACH,617719,4928,18,3,0
562,CashIn,ACH,43665,6228,345,4,0
563,CashIn,ACH,1538111,4928,18,1,0
564,CashIn,ACH,360000,7353,3,7,0
565,CashIn,ACH,50631,4928,18,2,0
566,CashIn,ACH,5465,4928,18,2,0
567,CashIn,ACH,22083,4974,3,8,0
568,CashOut,Wire,25471495,4277969,14339,6,0
569,CashIn,ACH,1300126,4928,18,10,1
570,CashIn,ACH,216500,7353,3,2,0
571,CashIn,ACH,200000,7812,49,9,1
572,CashIn,ACH,366412,1453148,15,1,0
573,CashIn,Wire,105165,157708,239,4,0
574,CashIn,Wire,2464500,3594680,161,2,0
575,CashIn,ACH,23690,22750,8,4,0
576,CashIn,ACH,18500,3267,509,8,0
577,CashIn,ACH,2217,4928,18,2,0
578,CashIn,ACH,322713,72679,6,2,0
579,CashIn,Wire,96604,2060377,2204,7,0
580,CashIn,ACH,272836,4928,18,1,0
581,CashIn,Wire,2590000,4934762,4219,3,0
582,CashIn,ACH,1145227,754751,31,8,0
583,CashIn,ACH,887,1453148,15,5,0
584,CashIn,ACH,222,1453148,15,6,0
585,CashIn,ACH,679058,4739,3,1,0
586,CashIn,ACH,383077,4928,18,6,0
587,CashIn,ACH,22552,4272311,43,6,0
588,CashOut,ACH,2900,3430409,1973,0,0
589,CashIn,ACH,586500,7353,3,8,0
590,CashIn,ACH,346500,7353,3,7,0
591,CashIn,ACH,50331,2268251,110146,10,1
